parking_id,name,num_stops_400m,total_daily_trips,total_routes,nearest_stop_distance_m,avg_walk_distance_m,scenario,buffer_distance_m,has_adequate_transit,trips_per_stop,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,accessibility_score,service_quality,reliability_class,rank_conservative
305,"Location (35.0463, -85.3099)",57,11453,189,49,225,conservative,400,True,200.9298245614035,93.44,100.0,100,99.51,99.47,98.23,excellent,High Reliability,1
295,"Location (35.0444, -85.3099)",60,10901,184,39,217,conservative,400,True,181.68333333333334,98.36,95.18,100,99.61,96.84,97.77,excellent,High Reliability,2
389,"Location (35.0468, -85.3080)",61,10251,190,130,270,conservative,400,True,168.04918032786884,100.0,89.5,100,98.7,100.0,96.66,excellent,High Reliability,3
290,"Location (35.0503, -85.3092)",58,8437,179,42,236,conservative,400,True,145.4655172413793,95.08,73.67,100,99.58,94.21,90.23,excellent,High Reliability,4
345,"Location (35.0503, -85.3088)",58,8437,179,73,247,conservative,400,True,145.4655172413793,95.08,73.67,100,99.27,94.21,90.18,excellent,High Reliability,5
292,"Location (35.0443, -85.3118)",50,10159,150,46,273,conservative,400,True,203.18,81.97,88.7,100,99.54,78.95,89.93,excellent,High Reliability,6
453,"Location (35.0450, -85.3115)",48,10132,156,37,251,conservative,400,True,211.08333333333334,78.69,88.47,100,99.63,82.11,89.37,excellent,High Reliability,7
422,"Location (35.0512, -85.3101)",57,8487,163,29,215,conservative,400,True,148.89473684210526,93.44,74.1,100,99.71,85.79,89.13,excellent,High Reliability,8
434,"Location (35.0463, -85.3123)",43,10085,148,159,289,conservative,400,True,234.53488372093022,70.49,88.06,100,98.41,77.89,86.59,excellent,High Reliability,9
320,"Location (35.0453, -85.3062)",55,7518,171,70,288,conservative,400,True,136.6909090909091,90.16,65.64,100,99.3,90.0,86.13,excellent,High Reliability,10
61,"Location (35.0417, -85.3073)",51,7942,146,113,237,conservative,400,True,155.72549019607843,83.61,69.34,100,98.87,76.84,84.22,excellent,High Reliability,11
417,"Location (35.0476, -85.3068)",49,7376,160,106,299,conservative,400,True,150.53061224489795,80.33,64.4,100,98.94,84.21,82.66,excellent,High Reliability,12
449,"Location (35.0507, -85.3113)",50,7675,134,44,230,conservative,400,True,153.5,81.97,67.01,100,99.56,70.53,82.58,excellent,High Reliability,13
252,"Location (35.0477, -85.3121)",43,8741,136,134,285,conservative,400,True,203.27906976744185,70.49,76.32,100,98.66,71.58,82.48,excellent,High Reliability,14
415,"Location (35.0439, -85.3057)",53,6583,148,52,278,conservative,400,True,124.20754716981132,86.89,57.48,100,99.48,77.89,81.68,excellent,High Reliability,15
425,"Location (35.0407, -85.3074)",48,7408,133,63,254,conservative,400,True,154.33333333333334,78.69,64.68,100,99.37,70.0,80.98,excellent,High Reliability,16
328,"Location (35.0452, -85.3124)",37,9015,120,70,274,conservative,400,True,243.64864864864865,60.66,78.71,100,99.3,63.16,79.99,excellent,High Reliability,17
267,"Location (35.0507, -85.3124)",44,7142,114,144,279,conservative,400,True,162.3181818181818,72.13,62.36,100,98.56,60.0,77.52,excellent,High Reliability,18
313,"Location (35.0429, -85.3052)",45,6550,127,48,279,conservative,400,True,145.55555555555554,73.77,57.19,100,99.52,66.84,77.21,excellent,High Reliability,19
125,"Location (35.0516, -85.3070)",46,5509,157,71,291,conservative,400,True,119.76086956521739,75.41,48.1,100,99.29,82.63,76.44,excellent,High Reliability,20
383,"Location (35.0446, -85.3130)",33,8092,102,63,294,conservative,400,True,245.21212121212122,54.1,70.65,100,99.37,53.68,74.99,excellent,High Reliability,21
451,"Location (35.0410, -85.3059)",43,5815,107,157,286,conservative,400,True,135.2325581395349,70.49,50.77,100,98.43,56.32,73.25,excellent,High Reliability,22
242,"Location (35.0389, -85.3084)",41,5801,90,91,258,conservative,400,True,141.4878048780488,67.21,50.65,100,99.09,47.37,71.6,excellent,High Reliability,23
298,"Location (35.0400, -85.3066)",39,5606,93,104,273,conservative,400,True,143.74358974358975,63.93,48.95,100,98.96,48.95,70.41,excellent,High Reliability,24
448,"Location (35.0480, -85.3132)",28,6536,84,230,332,conservative,400,True,233.42857142857142,45.9,57.07,100,97.7,44.21,67.67,excellent,High Reliability,25
347,"Location (35.0544, -85.3102)",36,4771,101,43,226,conservative,400,True,132.52777777777777,59.02,41.66,100,99.57,53.16,67.5,excellent,High Reliability,26
287,"Location (35.0529, -85.3128)",35,5044,75,111,281,conservative,400,True,144.11428571428573,57.38,44.04,100,98.89,39.47,66.34,excellent,High Reliability,27
337,"Location (35.0483, -85.3062)",33,4380,118,98,297,conservative,400,True,132.72727272727272,54.1,38.24,100,99.02,62.11,66.06,excellent,High Reliability,28
419,"Location (35.0493, -85.3135)",30,5415,75,252,355,conservative,400,True,180.5,49.18,47.28,100,97.48,39.47,65.05,excellent,High Reliability,29
211,"Location (35.0503, -85.3132)",33,4743,75,225,323,conservative,400,True,143.72727272727272,54.1,41.41,100,97.75,39.47,64.56,excellent,High Reliability,30
283,"Location (35.0485, -85.3134)",26,5246,78,252,342,conservative,400,True,201.76923076923077,42.62,45.8,100,97.48,41.05,63.12,excellent,High Reliability,31
373,"Location (35.0540, -85.3125)",30,4178,62,105,273,conservative,400,True,139.26666666666668,49.18,36.48,100,98.95,32.63,61.34,excellent,High Reliability,32
157,"Location (35.0387, -85.3114)",32,3748,64,71,291,conservative,400,True,117.125,52.46,32.73,100,99.29,33.68,61.19,excellent,High Reliability,33
327,"Location (35.0551, -85.3114)",29,4008,69,86,282,conservative,400,True,138.20689655172413,47.54,35.0,100,99.14,36.32,60.89,excellent,High Reliability,34
358,"Location (35.0465, -85.3051)",31,3278,75,67,273,conservative,400,True,105.74193548387096,50.82,28.62,100,99.33,39.47,60.14,excellent,High Reliability,35
322,"Location (35.0542, -85.3069)",28,3174,101,79,283,conservative,400,True,113.35714285714286,45.9,27.71,100,99.21,53.16,59.99,excellent,High Reliability,36
364,"Location (35.0457, -85.3027)",31,3502,58,70,284,conservative,400,True,112.96774193548387,50.82,30.58,100,99.3,30.53,59.83,excellent,High Reliability,37
191,"Location (35.0469, -85.2948)",23,3591,107,45,266,conservative,400,True,156.1304347826087,37.7,31.35,100,99.55,56.32,59.4,excellent,High Reliability,38
338,"Location (35.0437, -85.3047)",34,2622,66,58,257,conservative,400,True,77.11764705882354,55.74,22.89,100,99.42,34.74,59.19,excellent,High Reliability,39
405,"Location (35.0361, -85.3092)",31,3218,50,78,254,conservative,400,True,103.80645161290323,50.82,28.1,100,99.22,26.32,58.65,excellent,High Reliability,40
308,"Location (35.0493, -85.3052)",27,3091,89,204,327,conservative,400,True,114.48148148148148,44.26,26.99,100,97.96,46.84,58.54,excellent,High Reliability,41
