parking_id,name,num_stops_1200m,total_daily_trips,total_routes,nearest_stop_distance_m,avg_walk_distance_m,scenario,buffer_distance_m,has_adequate_transit,trips_per_stop,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,accessibility_score,service_quality,reliability_class,rank_extended
403,"Location (35.0458, -85.3032)",234,33452,677,80,738,extended,1200,True,142.95726495726495,97.5,100.0,100,99.2,100.0,99.25,excellent,High Reliability,1
320,"Location (35.0453, -85.3062)",238,32572,638,70,682,extended,1200,True,136.85714285714286,99.17,97.37,100,99.3,94.24,98.32,excellent,High Reliability,2
364,"Location (35.0457, -85.3027)",231,32590,671,70,747,extended,1200,True,141.08225108225108,96.25,97.42,100,99.3,99.11,98.1,excellent,High Reliability,3
338,"Location (35.0437, -85.3047)",240,31455,640,58,727,extended,1200,True,131.0625,100.0,94.03,100,99.42,94.53,97.58,excellent,High Reliability,4
205,"Location (35.0463, -85.3041)",227,32623,656,58,701,extended,1200,True,143.7136563876652,94.58,97.52,100,99.42,96.9,97.51,excellent,High Reliability,5
415,"Location (35.0439, -85.3057)",239,31660,628,52,702,extended,1200,True,132.46861924686192,99.58,94.64,100,99.48,92.76,97.49,excellent,High Reliability,6
431,48,225,32088,669,49,800,extended,1200,True,142.61333333333334,93.75,95.92,100,99.51,98.82,97.02,excellent,High Reliability,7
113,"Location (35.0468, -85.3023)",220,32397,655,58,739,extended,1200,True,147.2590909090909,91.67,96.85,100,99.42,96.75,96.56,excellent,High Reliability,8
358,"Location (35.0465, -85.3051)",225,31971,639,67,675,extended,1200,True,142.09333333333333,93.75,95.57,100,99.33,94.39,96.45,excellent,High Reliability,9
321,"Location (35.0476, -85.3019)",215,32270,650,91,748,extended,1200,True,150.09302325581396,89.58,96.47,100,99.09,96.01,95.8,excellent,High Reliability,10
313,"Location (35.0429, -85.3052)",234,30763,596,48,718,extended,1200,True,131.46581196581195,97.5,91.96,100,99.52,88.04,95.7,excellent,High Reliability,11
389,"Location (35.0468, -85.3080)",224,31170,608,130,643,extended,1200,True,139.15178571428572,93.33,93.18,100,98.7,89.81,95.07,excellent,High Reliability,12
295,"Location (35.0444, -85.3099)",227,30870,578,39,655,extended,1200,True,135.99118942731278,94.58,92.28,100,99.61,85.38,94.81,excellent,High Reliability,13
417,"Location (35.0476, -85.3068)",215,31146,609,106,641,extended,1200,True,144.86511627906978,89.58,93.11,100,98.94,89.96,94.16,excellent,High Reliability,14
404,"Location (35.0420, -85.3024)",224,29587,593,38,782,extended,1200,True,132.08482142857142,93.33,88.45,100,99.62,87.59,93.57,excellent,High Reliability,15
382,"Location (35.0484, -85.3041)",208,30700,629,87,683,extended,1200,True,147.59615384615384,86.67,91.77,100,99.13,92.91,93.36,excellent,High Reliability,16
305,"Location (35.0463, -85.3099)",219,30294,571,49,634,extended,1200,True,138.32876712328766,91.25,90.56,100,99.51,84.34,93.34,excellent,High Reliability,17
337,"Location (35.0483, -85.3062)",208,30782,615,98,645,extended,1200,True,147.9903846153846,86.67,92.02,100,99.02,90.84,93.21,excellent,High Reliability,18
453,"Location (35.0450, -85.3115)",215,29741,545,37,664,extended,1200,True,138.33023255813953,89.58,88.91,100,99.63,80.5,92.06,excellent,High Reliability,19
456,"Location (35.0488, -85.3039)",201,30057,617,78,682,extended,1200,True,149.53731343283582,83.75,89.85,100,99.22,91.14,91.89,excellent,High Reliability,20
435,"Location (35.0490, -85.3042)",201,30057,617,106,678,extended,1200,True,149.53731343283582,83.75,89.85,100,98.94,91.14,91.85,excellent,High Reliability,21
381,"Location (35.0495, -85.3031)",198,30208,620,62,715,extended,1200,True,152.56565656565655,82.5,90.3,100,99.38,91.58,91.78,excellent,High Reliability,22
292,"Location (35.0443, -85.3118)",215,29622,526,46,683,extended,1200,True,137.7767441860465,89.58,88.55,100,99.54,77.7,91.66,excellent,High Reliability,23
363,"Location (35.0497, -85.3039)",198,29804,610,113,700,extended,1200,True,150.5252525252525,82.5,89.09,100,98.87,90.1,91.19,excellent,High Reliability,24
308,"Location (35.0493, -85.3052)",199,29371,598,204,664,extended,1200,True,147.5929648241206,82.92,87.8,100,97.96,88.33,90.6,excellent,High Reliability,25
328,"Location (35.0452, -85.3124)",208,29031,528,70,685,extended,1200,True,139.5721153846154,86.67,86.78,100,99.3,77.99,90.4,excellent,High Reliability,26
434,"Location (35.0463, -85.3123)",205,29105,543,159,672,extended,1200,True,141.97560975609755,85.42,87.01,100,98.41,80.21,90.24,excellent,High Reliability,27
