parking_id,name,num_stops_800m,total_daily_trips,total_routes,nearest_stop_distance_m,avg_walk_distance_m,scenario,buffer_distance_m,has_adequate_transit,trips_per_stop,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,accessibility_score,service_quality,reliability_class,rank_moderate
337,"Location (35.0483, -85.3062)",159,24053,475,98,524,moderate,800,True,151.27672955974842,100.0,100.0,100,99.02,99.37,99.79,excellent,High Reliability,1
417,"Location (35.0476, -85.3068)",156,23964,478,106,498,moderate,800,True,153.6153846153846,98.11,99.63,100,98.94,100.0,99.26,excellent,High Reliability,2
389,"Location (35.0468, -85.3080)",155,23559,450,130,475,moderate,800,True,151.99354838709678,97.48,97.95,100,98.7,94.14,97.97,excellent,High Reliability,3
358,"Location (35.0465, -85.3051)",153,22974,455,67,527,moderate,800,True,150.15686274509804,96.23,95.51,100,99.33,95.19,97.13,excellent,High Reliability,4
305,"Location (35.0463, -85.3099)",141,22404,383,49,448,moderate,800,True,158.89361702127658,88.68,93.14,100,99.51,80.13,93.05,excellent,High Reliability,5
205,"Location (35.0463, -85.3041)",141,21845,415,58,539,moderate,800,True,154.9290780141844,88.68,90.82,100,99.42,86.82,93.01,excellent,High Reliability,6
308,"Location (35.0493, -85.3052)",143,21154,439,204,539,moderate,800,True,147.93006993006992,89.94,87.95,100,97.96,91.84,92.75,excellent,High Reliability,7
435,"Location (35.0490, -85.3042)",144,19876,465,106,568,moderate,800,True,138.02777777777777,90.57,82.63,100,98.94,97.28,92.0,excellent,High Reliability,8
320,"Location (35.0453, -85.3062)",138,21751,394,70,462,moderate,800,True,157.6159420289855,86.79,90.43,100,99.3,82.43,91.96,excellent,High Reliability,9
382,"Location (35.0484, -85.3041)",142,20137,456,87,559,moderate,800,True,141.80985915492957,89.31,83.72,100,99.13,95.4,91.85,excellent,High Reliability,10
456,"Location (35.0488, -85.3039)",142,19419,461,78,573,moderate,800,True,136.75352112676057,89.31,80.73,100,99.22,96.44,91.07,excellent,High Reliability,11
252,"Location (35.0477, -85.3121)",137,20874,378,134,516,moderate,800,True,152.36496350364965,86.16,86.78,100,98.66,79.08,90.28,excellent,High Reliability,12
295,"Location (35.0444, -85.3099)",134,21327,353,39,430,moderate,800,True,159.15671641791045,84.28,88.67,100,99.61,73.85,90.0,excellent,High Reliability,13
364,"Location (35.0457, -85.3027)",135,19850,392,70,576,moderate,800,True,147.03703703703704,84.91,82.53,100,99.3,82.01,89.08,excellent,High Reliability,14
415,"Location (35.0439, -85.3057)",131,21076,336,52,457,moderate,800,True,160.8854961832061,82.39,87.62,100,99.48,70.29,88.84,excellent,High Reliability,15
313,"Location (35.0429, -85.3052)",132,20870,338,48,488,moderate,800,True,158.1060606060606,83.02,86.77,100,99.52,70.71,88.78,excellent,High Reliability,16
328,"Location (35.0452, -85.3124)",134,20477,339,70,519,moderate,800,True,152.8134328358209,84.28,85.13,100,99.3,70.92,88.6,excellent,High Reliability,17
403,"Location (35.0458, -85.3032)",134,19508,388,80,556,moderate,800,True,145.5820895522388,84.28,81.1,100,99.2,81.17,88.4,excellent,High Reliability,18
434,"Location (35.0463, -85.3123)",133,20211,350,159,509,moderate,800,True,151.9624060150376,83.65,84.03,100,98.41,73.22,88.2,excellent,High Reliability,19
61,"Location (35.0417, -85.3073)",138,19872,326,113,475,moderate,800,True,144.0,86.79,82.62,100,98.87,68.2,88.13,excellent,High Reliability,20
