name,Latitude,Longitude,capacity,type,parking_id,capacity_estimated,processing_date,data_source,cluster_id,pop_N,pop_NE,pop_E,pop_SE,pop_S,pop_SW,pop_W,pop_NW,total_pop_served,dominant_direction,uniqueness_score,explanation
"Location (35.0601, -85.1836)",35.060120115409035,-85.1836046454094,3246,surface lot,1,False,2026-02-20T14:48:59.464672,OpenStreetMap,0,12697.0,4573.0,12829.0,12963.0,15365.0,14543.0,10371.0,9445.0,92786.0,S,42.53426904058855,High overlap (57.5%) with same-direction sites
"Location (35.1132, -85.2471)",35.11319524173957,-85.24713146136098,3190,large surface lot,2,False,2026-02-20T14:48:59.464672,OpenStreetMap,-1,14239.0,10529.0,10779.0,9052.0,8306.0,10750.0,17750.0,17531.0,98936.0,W,100.0,Isolated site (no nearby competitors)
"Location (35.0053, -85.3929)",35.0052767064176,-85.39287902975674,2747,large surface lot,3,False,2026-02-20T14:48:59.464672,OpenStreetMap,1,3526.0,6413.0,4877.0,8048.0,5168.0,5182.0,3091.0,3091.0,39396.0,SE,40.356533839218066,High overlap (59.6%) with same-direction sites
"Location (35.0168, -85.2999)",35.01682092051467,-85.29994129671037,2101,surface lot,4,False,2026-02-20T14:48:59.464672,OpenStreetMap,-1,27694.0,21691.0,23382.0,21804.0,14511.0,13117.0,14622.0,14187.0,151008.0,N,100.0,Isolated site (no nearby competitors)
"Location (34.9952, -85.3113)",34.99515249275171,-85.31128568242079,2097,large surface lot,5,False,2026-02-20T14:48:59.464672,OpenStreetMap,-1,13589.0,19692.0,22084.0,13811.0,10053.0,9834.0,9919.0,12840.0,111822.0,E,100.0,Isolated site (no nearby competitors)
"Location (35.1542, -85.2470)",35.15419078446651,-85.24698933778049,2043,surface lot,6,False,2026-02-20T14:48:59.464672,OpenStreetMap,2,13073.0,11354.0,17810.0,12785.0,16003.0,18288.0,15844.0,11501.0,116658.0,SW,28.403286601066434,High overlap (71.6%) with same-direction sites
"Location (35.0098, -85.2057)",35.009799152886735,-85.20566983593521,1457,surface lot,7,False,2026-02-20T14:48:59.464672,OpenStreetMap,3,10612.0,11276.0,20667.0,14956.0,9553.0,24342.0,21850.0,20817.0,134073.0,SW,70.0,Serves different direction than overlapping sites
"Location (35.1481, -85.2070)",35.148103204587265,-85.20699386186578,1268,large surface lot,8,False,2026-02-20T14:48:59.464672,OpenStreetMap,-1,14656.0,11718.0,7122.0,6918.0,9209.0,7862.0,15132.0,12827.0,85444.0,W,100.0,Isolated site (no nearby competitors)
VWGoA,35.072230401416164,-85.13449605350407,1264,surface lot,9,False,2026-02-20T14:48:59.464672,OpenStreetMap,4,9413.0,4849.0,11387.0,19143.0,14777.0,11753.0,10698.0,6829.0,88849.0,SE,34.10227608129062,High overlap (65.9%) with same-direction sites
"Location (35.0348, -85.1568)",35.0348430019882,-85.1568262048154,1257,surface lot,10,False,2026-02-20T14:48:59.464672,OpenStreetMap,5,10869.0,12478.0,19538.0,17745.0,19781.0,13429.0,11654.0,11068.0,116562.0,S,38.67298542197084,High overlap (61.3%) with same-direction sites
