cluster_id,cluster_size,sites_selected,sites_excluded,mean_overlap,selected_ids,excluded_ids
0,13,5,8,40.68370214482944,"[np.int64(141), np.int64(22), np.int64(121), np.int64(429), np.int64(33)]","[np.int64(132), np.int64(1), np.int64(101), np.int64(143), np.int64(177), np.int64(184), np.int64(312), np.int64(432)]"
1,10,5,5,32.48250963132315,"[np.int64(3), np.int64(50), np.int64(66), np.int64(89), np.int64(102)]","[np.int64(105), np.int64(146), np.int64(167), np.int64(200), np.int64(296)]"
2,5,5,0,27.865947504411952,"[np.int64(6), np.int64(318), np.int64(407), np.int64(440), np.int64(452)]",[]
3,17,5,12,39.3123988117905,"[np.int64(7), np.int64(315), np.int64(302), np.int64(394), np.int64(173)]","[np.int64(445), np.int64(54), np.int64(36), np.int64(38), np.int64(443), np.int64(41), np.int64(416), np.int64(231), np.int64(127), np.int64(408), np.int64(277), np.int64(96)]"
4,5,5,0,50.578945631944656,"[np.int64(9), np.int64(11), np.int64(104), np.int64(30), np.int64(390)]",[]
5,11,5,6,40.324871619133155,"[np.int64(17), np.int64(24), np.int64(262), np.int64(75), np.int64(29)]","[np.int64(95), np.int64(10), np.int64(58), np.int64(115), np.int64(42), np.int64(210)]"
6,2,2,0,70.0,"[np.int64(90), np.int64(13)]",[]
7,22,5,17,37.0244769594343,"[np.int64(187), np.int64(34), np.int64(293), np.int64(15), np.int64(16)]","[np.int64(441), np.int64(86), np.int64(238), np.int64(35), np.int64(70), np.int64(243), np.int64(195), np.int64(57), np.int64(230), np.int64(47), np.int64(98), np.int64(166), np.int64(196), np.int64(49), np.int64(233), np.int64(148), np.int64(32)]"
8,92,5,87,36.05661684517854,"[np.int64(417), np.int64(337), np.int64(389), np.int64(358), np.int64(305)]","[np.int64(205), np.int64(320), np.int64(308), np.int64(252), np.int64(295), np.int64(382), np.int64(435), np.int64(456), np.int64(415), np.int64(364), np.int64(313), np.int64(345), np.int64(290), np.int64(403), np.int64(61), np.int64(434), np.int64(328), np.int64(338), np.int64(310), np.int64(113), np.int64(453), np.int64(448), np.int64(292), np.int64(363), np.int64(451), np.int64(383), np.int64(425), np.int64(381), np.int64(283), np.int64(367), np.int64(449), np.int64(298), np.int64(406), np.int64(419), np.int64(125), np.int64(242), np.int64(321), np.int64(404), np.int64(422), np.int64(331), np.int64(249), np.int64(211), np.int64(267), np.int64(157), np.int64(106), np.int64(25), np.int64(137), np.int64(431), np.int64(322), np.int64(341), np.int64(317), np.int64(287), np.int64(18), np.int64(385), np.int64(160), np.int64(347), np.int64(373), np.int64(372), np.int64(405), np.int64(224), np.int64(268), np.int64(352), np.int64(191), np.int64(433), np.int64(371), np.int64(327), np.int64(222), np.int64(284), np.int64(255), np.int64(446), np.int64(108), np.int64(368), np.int64(291), np.int64(457), np.int64(369), np.int64(52), np.int64(377), np.int64(339), np.int64(270), np.int64(116), np.int64(77), np.int64(253), np.int64(294), np.int64(307), np.int64(31), np.int64(392), np.int64(179)]"
9,4,4,0,70.0,"[np.int64(19), np.int64(203), np.int64(323), np.int64(386)]",[]
10,2,2,0,28.98407709958889,"[np.int64(374), np.int64(20)]",[]
11,3,3,0,27.97167681742752,"[np.int64(169), np.int64(110), np.int64(21)]",[]
12,2,2,0,70.0,"[np.int64(26), np.int64(168)]",[]
13,3,3,0,36.778651402737005,"[np.int64(88), np.int64(27), np.int64(69)]",[]
14,8,5,3,42.36181026803434,"[np.int64(53), np.int64(37), np.int64(46), np.int64(72), np.int64(82)]","[np.int64(218), np.int64(144), np.int64(438)]"
15,9,5,4,33.44041627460936,"[np.int64(44), np.int64(51), np.int64(83), np.int64(216), np.int64(248)]","[np.int64(251), np.int64(350), np.int64(393), np.int64(418)]"
16,6,5,1,34.46587660153785,"[np.int64(133), np.int64(128), np.int64(297), np.int64(198), np.int64(48)]",[np.int64(162)]
17,6,5,1,28.94752708074832,"[np.int64(185), np.int64(56), np.int64(189), np.int64(209), np.int64(241)]",[np.int64(437)]
18,3,3,0,47.89568469154985,"[np.int64(214), np.int64(59), np.int64(261)]",[]
19,8,5,3,52.02981215574684,"[np.int64(220), np.int64(239), np.int64(149), np.int64(458), np.int64(265)]","[np.int64(73), np.int64(60), np.int64(175)]"
20,3,3,0,33.41709684415624,"[np.int64(62), np.int64(170), np.int64(325)]",[]
21,16,5,11,33.974136255879245,"[np.int64(426), np.int64(355), np.int64(412), np.int64(357), np.int64(326)]","[np.int64(455), np.int64(301), np.int64(427), np.int64(447), np.int64(171), np.int64(380), np.int64(65), np.int64(309), np.int64(226), np.int64(213), np.int64(436)]"
22,6,5,1,47.601293621486036,"[np.int64(236), np.int64(279), np.int64(67), np.int64(120), np.int64(260)]",[np.int64(176)]
23,5,5,0,26.325539217776658,"[np.int64(68), np.int64(92), np.int64(107), np.int64(129), np.int64(163)]",[]
24,5,5,0,23.824799971549243,"[np.int64(74), np.int64(186), np.int64(316), np.int64(361), np.int64(375)]",[]
25,4,4,0,34.23334251341295,"[np.int64(400), np.int64(76), np.int64(300), np.int64(387)]",[]
26,3,3,0,33.10533333378715,"[np.int64(81), np.int64(182), np.int64(193)]",[]
27,2,2,0,45.853381667929725,"[np.int64(215), np.int64(87)]",[]
28,3,3,0,70.0,"[np.int64(91), np.int64(97), np.int64(232)]",[]
29,2,2,0,40.358661842269015,"[np.int64(94), np.int64(192)]",[]
30,2,2,0,70.0,"[np.int64(99), np.int64(274)]",[]
31,2,2,0,22.926643885141452,"[np.int64(103), np.int64(131)]",[]
32,2,2,0,70.0,"[np.int64(109), np.int64(273)]",[]
33,3,3,0,70.0,"[np.int64(282), np.int64(117), np.int64(154)]",[]
34,3,3,0,43.913053102644824,"[np.int64(365), np.int64(256), np.int64(118)]",[]
35,3,3,0,70.0,"[np.int64(351), np.int64(136), np.int64(119)]",[]
36,5,5,0,41.8422180988974,"[np.int64(384), np.int64(366), np.int64(122), np.int64(188), np.int64(181)]",[]
37,2,2,0,70.0,"[np.int64(258), np.int64(123)]",[]
38,3,3,0,46.61156199465495,"[np.int64(207), np.int64(135), np.int64(388)]",[]
39,2,2,0,31.24739420295245,"[np.int64(138), np.int64(311)]",[]
40,2,2,0,70.0,"[np.int64(139), np.int64(234)]",[]
41,2,2,0,44.238259376079824,"[np.int64(147), np.int64(360)]",[]
42,4,4,0,70.0,"[np.int64(150), np.int64(353), np.int64(428), np.int64(442)]",[]
43,2,2,0,70.0,"[np.int64(152), np.int64(259)]",[]
44,4,4,0,51.20923359909533,"[np.int64(153), np.int64(264), np.int64(288), np.int64(332)]",[]
45,3,3,0,35.64866263223811,"[np.int64(156), np.int64(423), np.int64(356)]",[]
46,3,3,0,47.90944670380333,"[np.int64(245), np.int64(378), np.int64(158)]",[]
47,2,2,0,70.0,"[np.int64(159), np.int64(335)]",[]
48,3,3,0,40.49719679919747,"[np.int64(164), np.int64(304), np.int64(397)]",[]
49,3,3,0,44.40089841437145,"[np.int64(395), np.int64(165), np.int64(197)]",[]
50,4,4,0,36.60345206443114,"[np.int64(174), np.int64(246), np.int64(278), np.int64(410)]",[]
51,3,3,0,44.411406022545286,"[np.int64(444), np.int64(178), np.int64(285)]",[]
52,4,4,0,38.251807690507746,"[np.int64(183), np.int64(257), np.int64(229), np.int64(343)]",[]
53,2,2,0,13.215004555366171,"[np.int64(194), np.int64(333)]",[]
54,3,3,0,23.09515658492575,"[np.int64(204), np.int64(235), np.int64(272)]",[]
55,3,3,0,53.74829174627538,"[np.int64(219), np.int64(266), np.int64(206)]",[]
56,3,3,0,36.62016197805537,"[np.int64(228), np.int64(280), np.int64(281)]",[]
57,4,4,0,47.0131686787451,"[np.int64(240), np.int64(306), np.int64(319), np.int64(411)]",[]
