name,Latitude,Longitude,capacity,type,parking_id,capacity_estimated,processing_date,data_source
"Location (35.0601, -85.1836)",35.060120115409035,-85.1836046454094,3246,surface lot,1,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1132, -85.2471)",35.11319524173957,-85.24713146136098,3190,large surface lot,2,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0053, -85.3929)",35.0052767064176,-85.39287902975674,2747,large surface lot,3,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0168, -85.2999)",35.01682092051467,-85.29994129671037,2101,surface lot,4,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (34.9952, -85.3113)",34.99515249275171,-85.31128568242079,2097,large surface lot,5,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1542, -85.2470)",35.15419078446651,-85.24698933778049,2043,surface lot,6,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0098, -85.2057)",35.009799152886735,-85.20566983593521,1457,surface lot,7,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1481, -85.2070)",35.148103204587265,-85.20699386186578,1268,large surface lot,8,False,2026-02-20T14:48:59.464672,OpenStreetMap
VWGoA,35.072230401416164,-85.13449605350407,1264,surface lot,9,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0348, -85.1568)",35.0348430019882,-85.1568262048154,1257,surface lot,10,False,2026-02-20T14:48:59.464672,OpenStreetMap
VWGoA,35.075345270609965,-85.13146269874446,1192,surface lot,11,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0266, -85.1941)",35.0266450795846,-85.19414591923429,1185,large surface lot,12,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1397, -85.2457)",35.13967979911715,-85.24569673155412,1164,surface lot,13,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1466, -85.2510)",35.14662956838624,-85.25096469412644,1085,large surface lot,14,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1343, -85.2443)",35.13434455270474,-85.24429688636782,999,large surface lot,15,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1371, -85.2424)",35.13714033796049,-85.24244777828456,985,surface lot,16,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0321, -85.1578)",35.03207618250096,-85.15775019407695,913,surface lot,17,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0379, -85.3148)",35.03793381078941,-85.31481227338125,881,large surface lot,18,False,2026-02-20T14:48:59.464672,OpenStreetMap
Long Term Lot 2,35.03934186922786,-85.19674432279704,874,surface lot,19,False,2026-02-20T14:48:59.464672,OpenStreetMap
